TIMESTAMP,CELL_ID,SHIP_TYPE1,AVG1_1,SHIP_TYPE2,AVG2,SHIP_TYPE3,AVG3,SHIP_TYPE4,AVG4
08/03/2015,D1,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,29.0
15/03/2015,D1,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,78.857
15/03/2015,C1,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,1.0
22/03/2015,D1,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,112.857
29/03/2015,D2,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,26.0
29/03/2015,D1,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,85.143
05/04/2015,D2,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,62.2
05/04/2015,G8,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,180.0,OTHER_SHIP,0
05/04/2015,G7,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,67.0,OTHER_SHIP,0
05/04/2015,C1,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,9.0
05/04/2015,D1,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,97.286
05/04/2015,F13,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,1.0
05/04/2015,F7,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,11.0
05/04/2015,E7,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,18.0
05/04/2015,D4,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,86.0
05/04/2015,G10,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,39.0,OTHER_SHIP,0
05/04/2015,F12,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,76.0,OTHER_SHIP,9.0
05/04/2015,F10,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,111.0,OTHER_SHIP,0
05/04/2015,F11,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,84.0,OTHER_SHIP,0
05/04/2015,E6,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,1.0
05/04/2015,G9,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,82.5,OTHER_SHIP,0
05/04/2015,D3,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,23.0
05/04/2015,F9,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,70.0
05/04/2015,F8,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,138.0
05/04/2015,E5,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,3.0
05/04/2015,D5,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,6.0
12/04/2015,E6,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,40.0
12/04/2015,F10,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,31.667
12/04/2015,G8,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,57.667
12/04/2015,E15,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,26.0
12/04/2015,F9,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,148.5
12/04/2015,D1,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,67.0
12/04/2015,F7,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,53.0
12/04/2015,E7,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,59.0
12/04/2015,F13,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,130.0,OTHER_SHIP,0
12/04/2015,F12,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,74.0,OTHER_SHIP,0
12/04/2015,E16,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,64.0
12/04/2015,E12,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,101.0
12/04/2015,D4,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,1.0
12/04/2015,F11,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,36.0
12/04/2015,H8,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,22.5
12/04/2015,F16,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,4.0,OTHER_SHIP,0
12/04/2015,F14,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,129.0,OTHER_SHIP,0
12/04/2015,F15,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,8.0,OTHER_SHIP,0
12/04/2015,F8,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,111.667
12/04/2015,D5,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,8.0
12/04/2015,E13,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,89.0
12/04/2015,E14,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,23.0
12/04/2015,E11,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,6.0
