SHIP_ID,SHIPTYPE,SPEED,LON,LAT,COURSE,HEADING,TIMESTAMP,DEPARTURE_PORT_NAME,REPORTED_DRAUGHT,TRIP_ID
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.56034,35.8109,109,511,10/03/2015 12:15,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.1,14.56537,35.81219,47,511,10/03/2015 12:17,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8,14.56962,35.81499,49,511,10/03/2015 12:19,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8,14.57422,35.81719,72,511,10/03/2015 12:21,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.57967,35.81815,78,511,10/03/2015 12:23,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.58907,35.82315,42,511,10/03/2015 12:27,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.5,14.59376,35.82785,41,511,10/03/2015 12:30,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.5,14.59715,35.83116,46,511,10/03/2015 12:32,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8,14.60015,35.83465,20,511,10/03/2015 12:34,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.3,14.60176,35.83855,14,511,10/03/2015 12:36,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.7,14.56534,35.8946,314,511,10/03/2015 13:08,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,7.9,14.55826,35.89778,276,511,10/03/2015 13:11,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.1,14.55285,35.89915,281,511,10/03/2015 13:13,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.2,14.54738,35.90053,287,511,10/03/2015 13:15,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.3,14.54167,35.90104,268,511,10/03/2015 13:17,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8,14.53599,35.90118,277,511,10/03/2015 13:19,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.4,14.53026,35.90132,267,511,10/03/2015 13:21,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,8.5,14.51942,35.89713,218,511,10/03/2015 13:26,MARSAXLOKK,,0xc35c9_10-03-15 12:xx - 10-03-15 13:26
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0,14.51394,35.89511,348,511,10/03/2015 13:34,MARSAXLOKK,,0xc35c9_10-03-15 13:xx - 12-03-15 7:38_parking
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0,14.51393,35.89505,6,511,12/03/2015 07:38,MARSAXLOKK,,0xc35c9_10-03-15 13:xx - 12-03-15 7:38_parking
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,5.8,14.51453,35.89511,44,511,12/03/2015 07:41,MARSAXLOKK,,0xc35c9_12-03-15 7:xx - 23-03-15 0:42
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0,14.51687,35.89665,7,511,12/03/2015 07:46,MARSAXLOKK,,0xc35c9_12-03-15 7:xx - 23-03-15 0:42
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0,14.51686,35.89666,98,511,12/03/2015 08:08,MARSAXLOKK,,0xc35c9_12-03-15 7:xx - 23-03-15 0:42
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.5,14.51683,35.89665,212,511,12/03/2015 08:11,MARSAXLOKK,,0xc35c9_12-03-15 7:xx - 23-03-15 0:42
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,4,14.51729,35.89623,218,511,12/03/2015 08:13,MARSAXLOKK,,0xc35c9_12-03-15 7:xx - 23-03-15 0:42
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0.4,14.51399,35.89496,296,511,12/03/2015 08:16,MARSAXLOKK,,0xc35c9_12-03-15 7:xx - 23-03-15 0:42
0xc35c9ebbf48cbb5857a868ce441824d0b2ff783a,99,0,14.51396,35.89506,0,511,12/03/2015 08:40,MARSAXLOKK,,0xc35c9_12-03-15 7:xx - 23-03-15 0:42
0x6cafd52f3e1a09950e6e889daabf81bafbe7a40a,36,5,-5.316057,35.90345,348,511,14/03/2015 13:48,CEUTA,,0x6cafd_14-03-15 13:xx - 18-04-15 16:29
